iter	Passed	Remaining
476	649	711
477	650	709
478	651	708
479	652	706
480	653	705
481	654	703
482	656	702
483	657	700
484	658	699
485	660	698
486	661	696
487	662	694
488	663	693
489	664	691
490	665	689
491	666	688
492	667	686
493	668	684
494	669	683
495	670	681
496	671	679
497	672	678
498	673	676
499	675	675
500	676	673
501	677	671
502	678	670
503	679	668
504	680	666
505	681	665
506	682	663
507	683	662
508	684	660
509	685	658
510	686	657
511	687	655
512	689	654
513	690	652
514	691	650
515	692	649
516	693	647
517	694	646
518	695	644
519	696	643
520	697	641
521	698	639
522	699	638
523	700	636
524	701	635
525	702	633
526	703	631
527	704	630
528	706	628
529	707	627
530	708	625
531	709	623
532	710	622
533	711	620
534	712	619
535	713	617
536	714	615
537	715	614
538	716	612
539	717	611
540	718	609
541	719	608
542	720	606
543	721	605
544	722	603
545	723	601
546	724	600
547	726	598
548	727	597
549	728	595
550	729	594
551	730	592
552	731	591
553	732	589
554	733	588
555	734	586
556	735	584
557	736	583
558	737	581
559	738	580
560	739	578
561	740	577
562	741	575
563	742	574
564	744	572
565	745	571
566	746	569
567	747	568
568	748	567
569	749	565
570	750	564
571	751	562
572	752	561
573	754	559
574	755	558
575	756	556
576	757	555
577	758	553
578	759	552
579	760	550
580	761	549
581	762	547
582	763	546
583	764	544
584	765	543
585	767	541
586	768	540
587	769	538
588	770	537
589	771	535
590	772	534
591	773	533
592	774	531
593	775	530
594	777	528
595	778	527
596	779	525
597	780	524
598	781	523
599	782	521
600	783	520
601	784	518
602	785	517
603	786	515
604	788	514
605	789	513
606	790	511
607	791	510
608	792	508
609	793	507
610	794	505
611	795	504
612	796	502
613	797	501
614	798	500
615	799	498
616	800	497
617	802	495
618	803	494
619	804	492
620	805	491
621	806	490
622	807	488
623	808	487
624	809	485
625	810	484
626	811	482
627	812	481
628	814	480
629	815	478
630	816	477
631	817	475
632	818	474
633	819	473
634	820	471
635	821	470
636	822	468
637	823	467
638	824	466
639	825	464
640	826	463
641	827	461
642	829	460
643	830	458
644	831	457
645	832	456
646	833	454
647	834	453
648	835	451
649	836	450
650	837	449
651	839	447
652	840	446
653	841	445
654	842	443
655	843	442
656	844	440
657	845	439
658	846	438
659	847	436
660	848	435
661	849	433
662	851	432
663	852	431
664	853	429
665	854	428
666	855	427
667	856	425
668	857	424
669	859	423
670	860	421
671	861	420
672	862	418
673	863	417
674	864	416
675	865	414
676	866	413
677	867	412
678	868	410
679	869	409
680	870	407
681	871	406
682	873	405
683	874	403
684	875	402
685	876	401
686	877	399
687	878	398
688	879	397
689	880	395
690	881	394
691	883	393
692	884	391
693	885	390
694	886	388
695	887	387
696	888	386
697	889	384
698	890	383
699	891	382
700	892	380
701	893	379
702	894	378
703	895	376
704	896	375
705	898	373
706	899	372
707	900	371
708	901	369
709	902	368
710	903	367
711	904	365
712	905	364
713	906	363
714	907	361
715	908	360
716	909	359
717	910	357
718	911	356
719	912	354
720	913	353
721	914	352
722	915	350
723	917	349
724	918	348
725	919	346
726	920	345
727	921	344
728	922	342
729	923	341
730	924	340
731	925	338
732	926	337
733	927	336
734	928	334
735	929	333
736	930	332
737	931	330
738	933	329
739	934	328
740	935	326
741	936	325
742	937	324
743	938	322
744	939	321
745	940	320
746	941	318
747	942	317
748	943	316
749	944	314
750	945	313
751	946	312
752	947	310
753	949	309
754	950	308
755	951	307
756	952	305
757	953	304
758	954	303
759	955	301
760	956	300
761	957	299
762	958	297
763	960	296
764	961	295
765	962	294
766	963	292
767	964	291
768	966	290
769	967	288
770	968	287
771	969	286
772	970	285
773	971	283
774	972	282
775	974	281
776	975	279
777	976	278
778	977	277
779	978	275
780	979	274
781	980	273
782	981	272
783	983	270
784	984	269
785	985	268
786	987	267
787	988	265
788	989	264
789	990	263
790	991	262
791	992	260
792	994	259
793	995	258
794	996	256
795	997	255
796	998	254
797	1000	253
798	1001	251
799	1002	250
800	1003	249
801	1004	248
802	1005	246
803	1007	245
804	1008	244
805	1009	242
806	1010	241
807	1011	240
808	1013	239
809	1014	237
810	1015	236
811	1016	235
812	1017	234
813	1018	232
814	1020	231
815	1021	230
816	1022	229
817	1023	227
818	1025	226
819	1026	225
820	1027	224
821	1028	222
822	1030	221
823	1031	220
824	1032	219
825	1033	217
826	1034	216
827	1036	215
828	1037	213
829	1038	212
830	1039	211
831	1040	210
832	1042	208
833	1043	207
834	1044	206
835	1045	205
836	1046	203
837	1047	202
838	1048	201
839	1049	199
840	1051	198
841	1052	197
842	1053	196
843	1054	194
844	1055	193
845	1056	192
846	1057	191
847	1059	189
848	1060	188
849	1061	187
850	1062	185
851	1063	184
852	1064	183
853	1065	182
854	1066	180
855	1067	179
856	1068	178
857	1070	177
858	1071	175
859	1072	174
860	1073	173
861	1074	172
862	1075	170
863	1076	169
864	1077	168
865	1078	166
866	1079	165
867	1080	164
868	1081	163
869	1083	161
870	1084	160
871	1085	159
872	1086	158
873	1087	156
874	1088	155
875	1089	154
876	1090	152
877	1091	151
878	1092	150
879	1093	149
880	1094	147
881	1095	146
882	1096	145
883	1097	144
884	1098	142
885	1100	141
886	1101	140
887	1102	139
888	1103	137
889	1104	136
890	1105	135
891	1106	133
892	1107	132
893	1108	131
894	1109	130
895	1110	128
896	1111	127
897	1112	126
898	1113	125
899	1114	123
900	1115	122
901	1117	121
902	1118	120
903	1119	118
904	1120	117
905	1121	116
906	1122	115
907	1123	113
908	1124	112
909	1125	111
910	1126	110
911	1127	108
912	1128	107
913	1129	106
914	1131	105
915	1132	103
916	1133	102
917	1134	101
918	1135	100
